指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6686.64,633.51,123.76,10.78
上证５０,000016,2106.63,199.77,331.16,9.1
上证380,000009,5167.85,662.66,12.45,32.44
上证100,000132,5633.64,164.81,11.44,25.93
上证150,000133,6003.12,204.43,5.22,74.52
上证综指,000001,2887.21,1981.28,27.1,14.24
上证Ｂ股,000003,344.88,3.04,2.84,28.12
上证国债,000012,157.31,4,N/A,N/A
上证基金,000011,5635.8,328.69,N/A,N/A
上证企债,000013,203.08,23.2,N/A,N/A
