指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6627.98,435.97,123.11,10.58
上证５０,000016,2075.47,137.98,333.64,8.9
上证380,000009,5041.37,448.38,11.55,31.68
上证100,000132,5528.6,95.36,11.36,25
上证150,000133,5832.56,161.79,5.68,51.34
上证综指,000001,2843.68,1408.96,26.9,13.95
上证Ｂ股,000003,351.68,1.86,2.84,28.71
上证国债,000012,157.17,4.53,N/A,N/A
上证基金,000011,5628.09,261.36,N/A,N/A
上证企债,000013,202.27,35.75,N/A,N/A
