指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6958.14,515.36,124.68,11.12
上证５０,000016,2167.12,147.93,332.37,9.29
上证380,000009,5566.08,551.35,12.94,34.99
上证100,000132,6061.76,120.14,11.72,27.78
上证150,000133,6413.16,190.01,5.28,79.67
上证综指,000001,3027.9,1722.45,27.35,14.99
上证Ｂ股,000003,351.42,2.04,2.98,28.66
上证国债,000012,158.18,7.61,N/A,N/A
上证基金,000011,5662.42,239.93,N/A,N/A
上证企债,000013,204.68,35.94,N/A,N/A
