指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6623.06,411.1,123.11,10.56
上证５０,000016,2083.12,139.89,333.64,8.91
上证380,000009,4983.36,396.03,11.63,31.29
上证100,000132,5460.75,82.05,11.54,24.68
上证150,000133,5729.07,134.77,5.72,50.86
上证综指,000001,2825.48,1255.42,26.91,13.87
上证Ｂ股,000003,336.43,4.02,2.84,27.42
上证国债,000012,157.18,3.23,N/A,N/A
上证基金,000011,5626.93,280.52,N/A,N/A
上证企债,000013,202.36,34.17,N/A,N/A
