指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6985.98,628.72,124.68,11.16
上证５０,000016,2175.4,214.53,332.37,9.32
上证380,000009,5576.51,592.89,12.93,35.04
上证100,000132,6065.68,130.22,11.72,27.8
上证150,000133,6395.85,166.89,5.28,79.55
上证综指,000001,3036.6,1893.97,27.35,15.04
上证Ｂ股,000003,351.33,1.86,2.98,28.65
上证国债,000012,158.11,6.54,N/A,N/A
上证基金,000011,5663.4,206.36,N/A,N/A
上证企债,000013,204.61,34.27,N/A,N/A
