指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6904.25,882.39,124.34,11.1
上证５０,000016,2168.86,303.92,331.88,9.35
上证380,000009,5461,876.43,12.7,34.21
上证100,000132,5951.56,188.23,11.72,27.33
上证150,000133,6277.6,237.16,5.28,78.13
上证综指,000001,3006.39,2717.59,27.25,14.84
上证Ｂ股,000003,352.28,2.94,2.98,28.74
上证国债,000012,157.79,5.54,N/A,N/A
上证基金,000011,5652.99,265.25,N/A,N/A
上证企债,000013,203.87,27.66,N/A,N/A
