指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6651.12,386.35,123.04,10.6
上证５０,000016,2082.62,132.53,333.64,8.91
上证380,000009,5064.76,402.39,11.51,31.84
上证100,000132,5564.15,96.32,11.23,25.18
上证150,000133,5853.37,151.65,5.66,51.49
上证综指,000001,2850.86,1274.78,26.89,13.99
上证Ｂ股,000003,352.22,2.15,2.84,28.76
上证国债,000012,157.16,8.06,N/A,N/A
上证基金,000011,5628.64,297.34,N/A,N/A
上证企债,000013,202.28,31.32,N/A,N/A
