指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6916.4,824.57,124.41,11.1
上证５０,000016,2166.88,264.91,331.88,9.32
上证380,000009,5504.8,912.56,12.81,34.5
上证100,000132,6014.17,214.33,11.72,27.57
上证150,000133,6339.33,259.86,5.28,78.82
上证综指,000001,3016.85,2712.28,27.28,14.9
上证Ｂ股,000003,351.54,3.68,2.98,28.68
上证国债,000012,157.95,9.85,N/A,N/A
上证基金,000011,5655.12,263.32,N/A,N/A
上证企债,000013,204.01,24.83,N/A,N/A
