指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6616.85,463.39,123.76,10.69
上证５０,000016,2095.02,153.51,331.16,9.06
上证380,000009,5014.35,422.15,12.41,31.44
上证100,000132,5468.46,108.35,11.42,25.11
上证150,000133,5826.47,154.06,5.22,72.26
上证综指,000001,2842.19,1389.07,27.1,14.01
上证Ｂ股,000003,340.53,2.48,2.84,27.79
上证国债,000012,157.26,8.72,N/A,N/A
上证基金,000011,5630.54,300.89,N/A,N/A
上证企债,000013,203.03,28.77,N/A,N/A
