指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6689.89,646.44,124.32,10.76
上证５０,000016,2102.05,193.86,331.78,9.07
上证380,000009,5301.15,704.07,12.64,33.24
上证100,000132,5810.65,164.88,11.68,26.64
上证150,000133,6118.67,228.67,5.28,76.17
上证综指,000001,2912.56,2134.34,27.26,14.38
上证Ｂ股,000003,345.64,3.47,2.97,28.18
上证国债,000012,157.59,8.81,N/A,N/A
上证基金,000011,5639.69,332.94,N/A,N/A
上证企债,000013,203.59,19.08,N/A,N/A
