指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6584.95,389.77,123.11,10.53
上证５０,000016,2066.64,133.04,333.64,8.88
上证380,000009,4985.89,394.56,11.72,31.47
上证100,000132,5461.12,89.35,11.57,24.68
上证150,000133,5752.74,122.26,5.76,50.88
上证综指,000001,2821.67,1230.86,26.95,13.87
上证Ｂ股,000003,336.57,1.52,2.84,27.42
上证国债,000012,157.18,5.57,N/A,N/A
上证基金,000011,5625.33,268.46,N/A,N/A
上证企债,000013,202.42,36.99,N/A,N/A
