指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,7051.04,1109.37,124.6,11.27
上证５０,000016,2197.79,418.18,332.37,9.41
上证380,000009,5605.69,856.47,12.93,35.21
上证100,000132,6132.92,192.1,11.72,28.11
上证150,000133,6409.15,230.25,5.28,79.63
上证综指,000001,3060.69,2807.49,27.33,15.14
上证Ｂ股,000003,353.56,2.71,2.98,28.86
上证国债,000012,158.01,16.64,N/A,N/A
上证基金,000011,5665.82,286.28,N/A,N/A
上证企债,000013,204.33,19.78,N/A,N/A
