指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6805.97,521.27,123.56,10.87
上证５０,000016,2136.32,156.85,333.64,9.16
上证380,000009,5242.84,562.55,11.8,33.04
上证100,000132,5687.72,117.75,11.76,25.83
上证150,000133,6097.81,181.05,5.81,54.21
上证综指,000001,2934.1,1738.74,27.06,14.44
上证Ｂ股,000003,350.96,2.4,2.84,28.62
上证国债,000012,157.22,3.24,N/A,N/A
上证基金,000011,5641.57,362.32,N/A,N/A
上证企债,000013,202.78,27.53,N/A,N/A
