指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6785.64,538.17,123.71,10.85
上证５０,000016,2132.96,169.34,333.64,9.15
上证380,000009,5218.53,543.4,11.8,32.91
上证100,000132,5669.39,116.22,11.76,25.76
上证150,000133,6066.46,175.14,5.81,53.92
上证综指,000001,2927.16,1777.95,27.07,14.41
上证Ｂ股,000003,351.46,3.02,2.84,28.67
上证国债,000012,157.23,4.03,N/A,N/A
上证基金,000011,5643.32,347.81,N/A,N/A
上证企债,000013,202.85,20.96,N/A,N/A
