指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6860.82,608.41,124.46,10.96
上证５０,000016,2148.76,200.97,331.88,9.18
上证380,000009,5475.64,682.89,12.89,34.25
上证100,000132,5999.74,158.76,11.72,27.52
上证150,000133,6324.28,231.23,5.28,78.67
上证综指,000001,2988.09,2107.24,27.32,14.76
上证Ｂ股,000003,349.96,2.13,2.98,28.55
上证国债,000012,157.96,4.92,N/A,N/A
上证基金,000011,5654,262.28,N/A,N/A
上证企债,000013,204.12,32.81,N/A,N/A
