指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6636.27,435.49,123.11,10.59
上证５０,000016,2082.41,144.38,333.64,8.92
上证380,000009,5044.05,449.9,11.65,31.85
上证100,000132,5520.43,98.11,11.57,24.96
上证150,000133,5816.51,139.15,5.73,51.61
上证综指,000001,2843.65,1406.25,26.92,13.98
上证Ｂ股,000003,339.68,2.6,2.84,27.68
上证国债,000012,157.16,7.15,N/A,N/A
上证基金,000011,5628.34,356.24,N/A,N/A
上证企债,000013,202.43,21.52,N/A,N/A
