指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6708.66,460.67,123.89,10.81
上证５０,000016,2115.77,127.88,331.16,9.13
上证380,000009,5227.18,506.9,12.55,32.78
上证100,000132,5697.25,115.82,11.59,26.23
上证150,000133,6028.92,157.19,5.27,74.92
上证综指,000001,2905.55,1566.7,27.17,14.33
上证Ｂ股,000003,342.6,2.52,2.97,27.94
上证国债,000012,157.53,6.8,N/A,N/A
上证基金,000011,5638.86,270.74,N/A,N/A
上证企债,000013,203.35,26.33,N/A,N/A
