指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6663.19,612.78,123.89,10.74
上证５０,000016,2104.56,181.93,331.16,9.08
上证380,000009,5157.59,653.83,12.54,32.35
上证100,000132,5626.19,145.61,11.57,25.87
上证150,000133,5964.19,203.69,5.26,74.14
上证综指,000001,2878.56,1993.65,27.17,14.2
上证Ｂ股,000003,340.24,3.12,2.97,27.75
上证国债,000012,157.52,6.73,N/A,N/A
上证基金,000011,5635.44,279.71,N/A,N/A
上证企债,000013,203.32,26.35,N/A,N/A
