指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6661.34,602.59,124.25,10.72
上证５０,000016,2095.89,179.07,331.56,9.04
上证380,000009,5255.81,673.39,12.59,32.94
上证100,000132,5734.71,146.1,11.6,26.33
上证150,000133,6060.43,191.21,5.28,75.37
上证综指,000001,2895.7,1946.58,27.25,14.28
上证Ｂ股,000003,343.68,3.53,2.97,28.04
上证国债,000012,157.66,7.91,N/A,N/A
上证基金,000011,5637.46,353.12,N/A,N/A
上证企债,000013,203.56,21.48,N/A,N/A
