指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6598.59,660.56,123.76,10.66
上证５０,000016,2084.3,215.54,331.16,9.02
上证380,000009,4994.88,623.93,12.36,31.32
上证100,000132,5439.2,141.28,11.33,24.99
上证150,000133,5792.53,219.85,5.2,71.91
上证综指,000001,2833.07,1987.73,27.08,13.96
上证Ｂ股,000003,340.64,4.62,2.84,27.8
上证国债,000012,157.27,6.52,N/A,N/A
上证基金,000011,5629.27,365.32,N/A,N/A
上证企债,000013,203,17.07,N/A,N/A
