指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,7040.46,1106.53,124.6,11.23
上证５０,000016,2200.35,400.88,332.37,9.4
上证380,000009,5573.54,928.29,12.91,35.01
上证100,000132,6094.54,201.3,11.72,27.93
上证150,000133,6365.97,240.72,5.28,79.01
上证综指,000001,3049.38,2909.49,27.32,15.08
上证Ｂ股,000003,352.38,3.89,2.98,28.76
上证国债,000012,158.03,8.81,N/A,N/A
上证基金,000011,5664.29,255.77,N/A,N/A
上证企债,000013,204.27,27.77,N/A,N/A
