指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6590.12,392.9,123.11,10.54
上证５０,000016,2076.14,124.44,333.64,8.91
上证380,000009,4979.68,402.61,11.72,31.38
上证100,000132,5434.66,82.84,11.59,24.5
上证150,000133,5744.65,133.44,5.76,50.93
上证综指,000001,2822.44,1277.94,26.95,13.88
上证Ｂ股,000003,335.49,2.87,2.84,27.37
上证国债,000012,157.18,10.02,N/A,N/A
上证基金,000011,5626.06,322.57,N/A,N/A
上证企债,000013,202.49,29.09,N/A,N/A
