指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6823.75,961,123.17,10.88
上证５０,000016,2155.66,412.69,333.64,9.21
上证380,000009,5158.62,682.21,11.78,32.52
上证100,000132,5621.15,148.07,11.71,25.51
上证150,000133,5960.82,216.27,5.77,53.03
上证综指,000001,2916.62,2381.95,27,14.35
上证Ｂ股,000003,348.66,9.58,2.84,28.44
上证国债,000012,157.18,3.9,N/A,N/A
上证基金,000011,5641.01,430.65,N/A,N/A
上证企债,000013,202.61,28.14,N/A,N/A
