指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6895.04,478.02,124.69,11.04
上证５０,000016,2143.84,138.87,332.37,9.22
上证380,000009,5470.92,492.22,13.12,34.46
上证100,000132,5987.9,102.17,11.77,27.42
上证150,000133,6252.99,190.88,5.45,80.45
上证综指,000001,2982.43,1539.97,27.49,14.81
上证Ｂ股,000003,344.15,1.69,2.98,28.1
上证国债,000012,158.62,3.58,N/A,N/A
上证基金,000011,5615.34,216.99,N/A,N/A
上证企债,000013,205.47,31.83,N/A,N/A
