指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6797.62,543.5,123.25,10.84
上证５０,000016,2137.65,165.75,333.64,9.15
上证380,000009,5216.54,586.22,11.78,32.87
上证100,000132,5663.51,117.17,11.71,25.69
上证150,000133,6075.13,214.13,5.8,54.02
上证综指,000001,2925.23,1859.26,27.02,14.38
上证Ｂ股,000003,350.14,2.62,2.84,28.55
上证国债,000012,157.21,6.48,N/A,N/A
上证基金,000011,5639.73,290.11,N/A,N/A
上证企债,000013,202.7,25.62,N/A,N/A
