指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6583.74,725.73,124.25,10.61
上证５０,000016,2076.3,217.21,331.56,8.97
上证380,000009,5137.83,706.86,12.57,32.23
上证100,000132,5628.39,175.27,11.59,25.88
上证150,000133,5934.29,212.43,5.28,73.79
上证综指,000001,2854.29,2155.43,27.24,14.09
上证Ｂ股,000003,340,4.49,2.97,27.74
上证国债,000012,157.53,7.52,N/A,N/A
上证基金,000011,5632.65,387.89,N/A,N/A
上证企债,000013,203.44,22.85,N/A,N/A
