指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6648.79,586.7,123.82,10.72
上证５０,000016,2094.82,171.69,331.16,9.05
上证380,000009,5150.78,724.29,12.49,32.3
上证100,000132,5613.38,154.75,11.55,25.8
上证150,000133,5996.21,213.98,5.22,74.35
上证综指,000001,2872.82,2026.72,27.12,14.17
上证Ｂ股,000003,341.56,1.78,2.84,27.84
上证国债,000012,157.33,9.62,N/A,N/A
上证基金,000011,5634.04,322.78,N/A,N/A
上证企债,000013,203.13,23.52,N/A,N/A
