指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6583.89,353.47,123.17,10.53
上证５０,000016,2074.92,97.8,333.64,8.9
上证380,000009,4981.08,390.5,11.72,31.39
上证100,000132,5435,81.58,11.59,24.5
上证150,000133,5752.42,127.22,5.77,50.95
上证综指,000001,2821.05,1247.66,26.98,13.88
上证Ｂ股,000003,336.3,2,2.84,27.44
上证国债,000012,157.15,9.34,N/A,N/A
上证基金,000011,5626.66,331.43,N/A,N/A
上证企债,000013,202.53,26.98,N/A,N/A
