指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,7039.78,733.54,124.6,11.23
上证５０,000016,2195.23,277.11,332.37,9.38
上证380,000009,5604.11,690.32,12.93,35.21
上证100,000132,6135.19,160.88,11.72,28.11
上证150,000133,6414.6,204.89,5.28,79.62
上证综指,000001,3054.02,2141.58,27.33,15.11
上证Ｂ股,000003,352.17,2.41,2.98,28.73
上证国债,000012,158.02,13.46,N/A,N/A
上证基金,000011,5665.79,223.76,N/A,N/A
上证企债,000013,204.38,22.79,N/A,N/A
