指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,7037.12,668.1,124.6,11.24
上证５０,000016,2192.39,215.3,332.37,9.39
上证380,000009,5595.11,647.98,12.93,35.17
上证100,000132,6119.81,144.95,11.72,28.04
上证150,000133,6383.16,183.95,5.28,79.27
上证综指,000001,3054.3,2037.66,27.33,15.12
上证Ｂ股,000003,353.08,2.53,2.98,28.81
上证国债,000012,158.03,10.14,N/A,N/A
上证基金,000011,5667.09,261.93,N/A,N/A
上证企债,000013,204.42,23.76,N/A,N/A
