指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,6890.61,936.83,124.45,11
上证５０,000016,2155.72,331.79,331.87,9.22
上证380,000009,5492.14,849,12.91,34.45
上证100,000132,6014.4,190.29,11.72,27.52
上证150,000133,6313.38,252.48,5.28,78.32
上证综指,000001,2994.92,2761.36,27.32,14.81
上证Ｂ股,000003,349.93,3.32,2.98,28.55
上证国债,000012,158,6.4,N/A,N/A
上证基金,000011,5656.14,265.74,N/A,N/A
上证企债,000013,204.23,24.47,N/A,N/A
