指数名称,指数代码,收盘,成交额(亿元),平均股本(亿股),静态市盈率
上证180,000010,7016.5,745.04,124.68,11.22
上证５０,000016,2187.98,285.61,332.37,9.38
上证380,000009,5566.96,639.57,12.93,35
上证100,000132,6067.83,140.86,11.72,27.8
上证150,000133,6355.28,180.93,5.28,79.03
上证综指,000001,3043.56,2086.21,27.35,15.07
上证Ｂ股,000003,351.39,1.96,2.98,28.67
上证国债,000012,158.08,5.22,N/A,N/A
上证基金,000011,5665.22,237.56,N/A,N/A
上证企债,000013,204.52,19.4,N/A,N/A
